"更新文件路径  ","Update File Path"
"更新消息  ","Update Message"
"插件终端注册输出  ","Addon Terminal Registration Output"
"混合操作 默认段数  ","Blendulate default Segment Count"
"在使用单点选择调用 混合操作 时使用此数量的段  ","Use this many Segments, when invoking Blendulate with a single Point selection"
"显示侧边栏面板  ","Show Sidebar Panel"
"显示曲线分割工具  ","Show Curve Split tool"
"显示删除菜单  ","Show Delete Menu"
"在编辑曲线上下文菜单中显示  ","Show in Edit Curve Context Menu"
"HUD缩放  ","HUD Scale"
"HUD超时时间  ","HUD Timeout"
"调节淡出HUD元素的持续时间  ","Modulate duration of fading HUD elements"
"闪烁距离  ","Flick Distance"
"插件  ","Addon"
"常规  ","General"
"菜单  ","Menu"
"HUD  ","HUD"
"3D视图  ","3D View"
"快捷键  ","Keymaps"
"谢谢！  ","Thank You!"
"安装 CURVEmachine 更新  ","Install CURVEmachine Update"
"移除更新  ","Remove Update"
"退出 Blender + 安装更新  ","Quit Blender + Install Update"
"在您的主文件夹和/或下载文件夹中发现以下更新：  ","Found the following Updates in your home and/or Downloads folder: "
"重新扫描  ","Re-Scan"
"发现  ","found"
"没有找到更新。在您的主目录或下载文件夹中均未找到。  ","No Update was found. Neither in your Home directory, nor in your Downloads folder."
"选择 CURVEmachine_x.x.x.zip 文件  ","Select CURVEmachine_x.x.x.zip file"
"支持  ","Support"
"获取支持  ","Get Support"
"关于  ","About"
"CURVEmachine  ","CURVEmachine"
"文档  ","Documentation"
"MACHINƎ.io  ","MACHINƎ.io"
"blenderartists  ","blenderartists"
"Patreon  ","Patreon"
"Twitter  ","Twitter"
"Youtube  ","Youtube"
"Artstation  ","Artstation"
"DECALmachine  ","DECALmachine"
"curvemachine  ","curvemachine"
"MACHIN3tools  ","MACHIN3tools"
"PUNCHit  ","PUNCHit"
"HyperCursor  ","HyperCursor"
"MACHIN3：添加单点多边形曲线  ","MACHIN3: Add Single Point Poly Curve"
"在光标处添加单点多边形曲线  ","Add single-point POLY curve at Cursor"
"对齐到光标旋转  ","Align to Cursor Rotation"
"曲线  ","Curve"
"混合操作","Blendulate"
"完成  ","Finish"
"视口  ","Viewport"
"取消  ","Cancel"
"MACHIN3：混合操作","MACHIN3: Blendulate"
"融合选定的曲线点，或从单点选择创建弧线  ALT：使用之前的值重复Blendulate  ","Blend selected Curve Points, or create Arc from single Point selection\nALT: Repeat Blendulate using previous values"
"张力  ","Tension"
"用于平滑选定点前后两段样条段的张力  ","Tension used for blending the two Spline Segments before and after the selected Point(s)"
"段数  ","Segments"
"用于插值的点数  ","Amount of Points used to interpolate"
"倒角  ","Chamfer"
"对Blend进行倒角  ","Chamfer the Blend"
"自动张力  ","Auto Tension"
"使用自动计算的张力来近似圆弧  ","Use automatically calculated tension to approximate a Circular Arc"
"数量  ","Amount"
"两个外部点移动的距离  ","Distance by withthe two outer Points are moved"
"合并为单点  ","Merge to Single Point"
"将选定点合并为单个点  ","Set Merge Selected Points to a single Point"
"自动合并，增加数量以避免此情况  ","Auto-Merging, increase Amount to avoid this"
"段数  ","Segment Count"
"C  ","C"
"MACHIN3：插值点  ","MACHIN3: Interpolate Points"
"插值选定曲线点的倾斜度和/或半径  ","Interpolate Tilt and/or Radius of selected Curve Points"
"插值倾斜度  ","Interpolate Tilt"
"插值半径  ","Interpolate Radius"
"开始切割  ","Start Cut"
"完成切割  ","Finish Cut"
"调整切割  ","Adjust Cut"
"MACHIN3：曲线刀  ","MACHIN3: Curve Knife"
"切割新曲线点并可选分割样条  ","Cut new Curve Points and optionally Split Splines"
"在刀具交点处分割样条  ","Split Splines at Knife Intersections"
"MACHIN3：合并到最后一个点  ","MACHIN3: Merge to last Point"
"合并样条点到最后选择的点  ","Merge Spline Point(s) to Last Selected Point"
"MACHIN3：合并到中心  ","MACHIN3: Merge to Center"
"将选定的点合并到平均位置，可选跨越两个样条  ","Merge Selected Points to Averaged Location, optionally across 2 Splines"
"间隙重排","Gap Shuffle"
"确认  ","Confirm"
"导航  ","Navigation"
"重排间隙  ","Shuffle the Gap"
"MACHIN3：重排样条间隙  ","MACHIN3: Shuffle Spline Gap"
